"","feature_id","cos.sim","feature_desc"
"229","ICD10:U07.1",1,"COVID19"
"6073","LOINC:12783-7",0.643542787249445,"oligoclonal bands (group:oligobs)"
"6074","LOINC:17821-0",0.643542787249445,"oligoclonal bands, fluid (group:oligob)"
"6549","LOINC:10339-0",0.479583265435998,"fluoxetine+norfluoxetine (group:flunor)"
"6611","LOINC:5133-4",0.453536033936879,"anti-dnase b (group:antidnase)"
"4357","RXNORM:1008141",0.332150205090784,"ascorbic acid/ferrous fumarate/folic acid"
"7182","RXNORM:1430990",0.312043226198542,"donepezil/memantine"
"6265","RXNORM:1551467",0.308020069589038,"bupropion/naltrexone"
"338","LOINC:2276-4",0.292314258439103,"ferritin (group:fer)"
"340","LOINC:3246-6",0.281649346931373,"fibrin split products/d-dimer (group:fsp/dd)"
"341","LOINC:3251-6",0.281529980932801,"fibrin split prods (group:fsp)"
"3606","RXNORM:857974",0.264688533946709,"saxagliptin"
"6921","LOINC:X1348-2",0.25996083652155,"yersinia entolitica abs (group:yersinia)"
"6922","LOINC:26818-5",0.25996083652155,"campylobacter jejuni ab (group:campyab)"
"180","LOINC:2498-4",0.247168083165556,"LOINC:IRON"
"337","LOINC:X1166-8",0.239642094619123,"crp (mg/l) (group:crpt)"
"336","LOINC:11039-5",0.230221394523278,"c-reactive protein (group:crp)"
"2783","PheCode:323",0.208881455426561,"Encephalitis"
"793","PheCode:480.2",0.208592689221115,"Viral pneumonia"
"1473","PheCode:509.2",0.181523206619382,"Respiratory insufficiency"
"5321","LOINC:32653-8",0.162671129348279,"dys/ikbkap gene analysis (group:dys)"
"447","LOINC:33762-6",0.159297305509303,"nt-probnp (group:nt-bnp)"
"6550","LOINC:31685-1",0.159200469732846,"toxoplasma igg, csf (group:toxogc)"
"6551","LOINC:18348-3",0.159200469732846,"LOINC:TOXOPLASMA GONDII AB.IGM"
"6754","LOINC:13510-3",0.157849012408457,"myeloperoxidase (group:mpo)"
"6755","LOINC:13512-9",0.157849012408457,"non-specific esterase (group:nse)"
"6756","LOINC:9786-5",0.157849012408457,"periodic acid schiff stain (group:pas)"
"6757","LOINC:11017-1",0.157849012408457,"specific esterase (group:spest)"
"5857","LOINC:XC394-7",0.157613031063652,"rt-quic, csf (group:rt-quic)"
"5781","LOINC:50210-4",0.156276849465884,"gfr (cystatin c) (group:gfr-cystatinc)"
"4880","LOINC:15045-8",0.151732996244582,"creatine (mmol/l) (group:creatm)"
"6721","RXNORM:5514",0.146740096164793,"hydroxocobalamin"
"6854","LOINC:27831-7",0.146587166230091,"c1q binding assay (group:c1q-binding)"
"428","RXNORM:7512",0.144907790054001,"norepinephrine"
"4571","LOINC:13249-8",0.143356696175374,"hsv ab(s), csf (group:hsvtorcsf)"
"4572","LOINC:34613-0",0.143238258392154,"hsv ab(s) titer, igg (group:hsvtor)"
"1375","CCS-PCS:34",0.137460921077951,"tracheostomy, temporary and permanent"
"6644","LOINC:35620-4",0.135536765935937,"metoprolol (group:metopr)"
"352","LOINC:3255-7",0.132884110338974,"LOINC:FIBRINOGEN"
"4487","RXNORM:689436",0.132277895243993,"glycerin/propylene glycol"
"5535","LOINC:29512-1",0.127693553463392,"3-oh (beta) butyrate (mcg/ml) (group:bohbut)"
"5536","LOINC:30070-7",0.127693553463392,"cystathionine, amn fld (group:afcynth)"
"334","PheCode:519.8",0.127181252404292,"Other diseases of respiratory system, NEC"
"6934","LOINC:42804-5",0.125863652442075,"fungal identification (group:fungal-id)"
"234","PheCode:079.9",0.125543663469444,"Viremia, NOS"
"5427","RXNORM:214212",0.124767523088975,"amiloride/hydrochlorothiazide"
"333","PheCode:519",0.123110639595034,"Other diseases of respiratory system, not elsewhere classified"
"6748","RXNORM:804304",0.12163513315435,"calamine/pramoxine"
"2818","PheCode:711.2",0.121581944294184,"Reiter's disease"
"5951","RXNORM:8698",0.120462135025846,"probenecid"
"878","LOINC:2019-8",0.118622383006785,"arterial pco2 (group:apco2)"
"6449","RXNORM:588003",0.118494265106168,"meclofenamate"
"2117","LOINC:7906-1",0.118304133137769,"hdv rna (group:hdv-rna)"
"1319","LOINC:1922-4",0.117575702662302,"base deficit, arterial (group:abased)"
"6985","LOINC:3033-8",0.116713043911915,"cbg (transcortin) (group:cbg)"
"236","LOINC:11555-0",0.116398672645312,"LOINC:BASE EXCESS"
"6697","RXNORM:8153",0.112938653147581,"phentolamine"
"5100","RXNORM:3154",0.111858069734594,"demeclocycline"
"89","LOINC:26484-6",0.109636459277762,"abs monos (group:amons)"
"1374","PheCode:276.11",0.108731361850889,"Hyperosmolality and/or hypernatremia"
"339","LOINC:2532-0",0.10843053873059,"LOINC:LACTATE DEHYDROGENASE"
"877","LOINC:2703-7",0.10752748046934,"arterial po2 (group:apo2)"
"459","PheCode:350.6",0.106545457585959,"Disturbances of sensation of smell and taste"
"688","PheCode:585.1",0.106501299683917,"Acute renal failure"
"883","LOINC:2713-6",0.10487550157127,"LOINC:OXYGEN SATURATION"
"796","LOINC:X1335-9",0.104606810609671,"misc chemistry (group:miscchem)"
"15","CCS-PCS:202",0.104458896310812,"electrocardiogram"
"6387","LOINC:19252-6",0.10285959671568,"megakaryocytes (group:megak)"
"260","PheCode:465",0.102599605079395,"Acute upper respiratory infections of multiple or unspecified sites"
"4252","PheCode:290.12",0.101847494567296,"Dementia with cerebral degenerations"
"1047","RXNORM:32521",0.101223938780951,"rocuronium bromide"
"5636","LOINC:82473-0",0.100913587294425,"b. mayonii pcr (blood) (group:bmayon-bld)"
"5637","LOINC:82471-4",0.100913587294425,"b. garinii/b.afzelii pcr (blood) (group:bgarafz-bld)"
"4818","LOINC:4476-8",0.100823065536887,"c1 inh functional (group:c1func)"
"227","PheCode:512.8",0.10022108827135,"Cough"
