feature_id,cosine,feature_desc
U07.1,1,2019-nCoV acute respiratory disease
Phecode:480.2,0.511931208,Viral pneumonia
J12.89,0.488098493,Other viral pneumonia
Phecode:480,0.451949778,Pneumonia
ShortName:D-Dimer,0.447629309,D-Dimer
MED:Remdesivir,0.41626713,Remdesivir IV medication
COVID:PCR,0.401258165,COVID-19 PCR Diagnostic lab test
Phecode:079,0.392917944,Viral infection
ShortName:CRP,0.38447073,ShortName:CRP
Phecode:509.1,0.382460496,Respiratory failure
ShortName:Ferritin,0.381380218,ShortName:Ferritin
Phecode:509,0.376457958,"Respiratory failure, insufficiency, arrest"
RXNORM:3264,0.342578737,dexamethasone
LOINC:2524-7,0.317462999,LOINC:LACTATE
LOINC:11555-0,0.315715366,LOINC:BASE EXCESS
Phecode:509.2,0.3096888,Respiratory insufficiency
LOINC:11558-4,0.306939451,LOINC:PH
J80.,0.303429661,Acute respiratory distress syndrome
LOINC:11556-8,0.28364608,LOINC:OXYGEN
Z20.828,0.282395442,Contact with and (suspected) exposure to other viral communicable diseases
LOINC:2713-6,0.278794853,LOINC:OXYGEN SATURATION
LOINC:48058-2,0.27841558,LOINC:FIBRIN D-DIMER DDU
LOINC:2532-0,0.272017655,LOINC:LACTATE DEHYDROGENASE
Z03.818,0.266115615,Encounter for observation for suspected exposure to other biological agents ruled out
COVID:Antibody,0.257567575,COVID-19 Antibody lab test
RXNORM:319864,0.254020683,cisatracurium
LOINC:8310-5,0.251088311,LOINC:BODY TEMPERATURE
LOINC:2714-4,0.247541851,LOINC:OXYHEMOGLOBIN/HEMOGLOBIN.TOTAL
LOINC:2614-6,0.246337392,LOINC:METHEMOGLOBIN/HEMOGLOBIN.TOTAL
LOINC:20563-3,0.241673475,LOINC:CARBOXYHEMOGLOBIN/HEMOGLOBIN.TOTAL
Phecode:585.1,0.240571356,Acute renal failure
Phecode:512.7,0.240415006,Shortness of breath
LOINC:19994-3,0.238767931,LOINC:OXYGEN/INSPIRED GAS SETTING
Phecode:480.1,0.238686228,Bacterial pneumonia
Phecode:514,0.236465794,Abnormal findings examination of lungs
R05.,0.232346177,Cough
Phecode:350.6,0.232153482,Disturbances of sensation of smell and taste
MED:Tocilizumab,0.229796627,Tocilizumab IV medication
ShortName:Influenza Diagnostic,0.229210398,Influenza Diagnostic
RXNORM:18993,0.228201929,benzonatate
J22.,0.227283076,Unspecified acute lower respiratory infection
Phecode:276.11,0.225293738,Hyperosmolality and/or hypernatremia
ShortName:Interleukin-6,0.217395755,Interleukin-6
Phecode:512,0.214778113,Other symptoms of respiratory system
ShortName:BNP,0.213978595,ShortName:BNP
RXNORM:67108,0.213530247,enoxaparin
ShortName:Carbon Dioxide - Partial Pressure,0.213233836,Carbon Dioxide - Partial Pressure
ShortName:Cell CD3/4 - Abs,0.211172176,Cell CD3/4 - Abs
CCS:183,0.206636525,Routine chest X-ray
RXNORM:10154,0.205294667,succinylcholine
ShortName:Cell CD3/4 - Fra,0.20524454,Cell CD3/4 - Fra
Phecode:509.8,0.204937116,Dependence on respirator [Ventilator] or supplemental oxygen
LOINC:2529-6,0.202058019,LOINC:LACTATE DEHYDROGENASE
ShortName:Troponin I,0.20101251,ShortName:Troponin I
Phecode:276.41,0.199867743,Acidosis
Phecode:276,0.199263686,"Disorders of fluid, electrolyte, and acid-base balance"
RXNORM:71535,0.196643189,vecuronium
ShortName:Vitamin D,0.196420385,Vitamin D
CCS:41,0.19622174,Other non-OR therapeutic procedures on respiratory system
Phecode:994.2,0.1960767,Sepsis
J98.59,0.196057232,"Other diseases of mediastinum, not elsewhere classified"
Phecode:079.9,0.192700284,"Viremia, NOS"
Phecode:276.4,0.190726326,Acid-base balance disorder
J98.2,0.190485741,Interstitial emphysema
Phecode:656.7,0.188185611,Conditions involving the integument and temperature regulation of fetus and newborn
R06.02,0.188160977,Shortness of breath
Phecode:276.1,0.187376556,Electrolyte imbalance
CCS:205,0.18614341,Arterial blood gases
RXNORM:32521,0.186012089,rocuronium bromide
Phecode:994,0.185858967,Sepsis and SIRS
LOINC:58413-6,0.185054099,LOINC:ERYTHROCYTES.NUCLEATED/100 LEUKOCYTES
Phecode:962.3,0.185040791,Hormones and synthetic substitutes causing adverse effects in therapeutic use
Phecode:286.9,0.185026274,Abnormal coagulation profile
RXNORM:4177,0.182113671,etomidate
Phecode:427.7,0.181926001,Tachycardia NOS
Z11.59,0.18091414,Encounter for screening for other viral diseases
Phecode:797,0.177755755,Shock
Phecode:480.12,0.175952538,Pseudomonal pneumonia
Phecode:512.8,0.174019566,Cough
Phecode:994.21,0.173001358,Septic shock
Phecode:420.1,0.171890556,Myocarditis
RXNORM:296,0.171765198,adenosine
R50.9,0.171163102,"Fever, unspecified"
Phecode:561.1,0.169530769,Diarrhea
Phecode:136,0.168367331,Other infectious and parasitic diseases
LOINC:3255-7,0.167830293,LOINC:FIBRINOGEN
RXNORM:141704,0.167069454,everolimus
J20.8,0.166269798,Acute bronchitis due to other specified organisms
Phecode:458.9,0.166001855,Hypotension NOS
RXNORM:1592254,0.163005176,pirfenidone
ShortName:TotalCK,0.162559123,ShortName:TotalCK
Phecode:348.8,0.162453299,"Encephalopathy, not elsewhere classified"
Phecode:512.9,0.162399984,Other dyspnea
RXNORM:40114,0.16191153,guanfacine
Phecode:038,0.1609741,Septicemia
Phecode:614.54,0.160922376,Abscess or ulceration of vulva
Phecode:276.42,0.160279923,Alkalosis
Phecode:480.13,0.157373838,MRSA pneumonia
J98.4,0.156426047,Other disorders of lung
ShortName:Phosphate - BSP,0.155992083,Phosphate - BSP
Phecode:288.2,0.155880723,Elevated white blood cell count
Phecode:426.7,0.154728818,Abnormal electrocardiogram [ECG] [EKG]
RXNORM:11416,0.154697619,zinc
Phecode:427.61,0.154002477,Supraventricular premature beats
CCS:34,0.153343889,"Tracheostomy, temporary and permanent"
Phecode:748,0.152624558,"Anomalies of respiratory system, congenital"
ShortName:Influenza Ab,0.151171309,Influenza Ab
Phecode:962,0.151138758,Poisoning by hormones and synthetic substitutes
Phecode:289.3,0.150923298,Personal history of diseases of blood and blood-forming organs
Phecode:286.6,0.150920012,Defibrination syndrome
Phecode:599.6,0.150698336,Oliguria and anuria
COVID:Antigen,0.150441321,COVID-19 Antigen Diagnostic lab test
Phecode:426.32,0.150279713,Left bundle branch block
Phecode:359.2,0.150197565,Myopathy
RXNORM:693286,0.149456714,breatherite
Phecode:961,0.149243997,Poisoning by other anti-infectives
