Variable,Description,RXCUI,ATC,VA,VA_Drug
RXNORM:1000082,alcaftadine,1000082,Other antiallergics,"OPHTHALMICS,OTHER",alcaftadine 2.5 MG/ML Ophthalmic Solution [Lastacaft]
RXNORM:1000104,incobotulinumtoxina,1000104,,"MUSCULOSKELETAL AGENTS,OTHER",incobotulinumtoxinA 200 UNT Injection [Xeomin]
RXNORM:1000492,resveratrol,1000492,,HERBS/ALTERNATIVE THERAPIES,resveratrol Pill
RXNORM:1001472,dutasteride/tamsulosin,1001472,Alpha-adrenoreceptor antagonists,"GENITO-URINARY AGENTS,OTHER",dutasteride 0.5 MG / tamsulosin hydrochloride 0.4 MG Oral Capsule [Jalyn]
RXNORM:1002293,formoterol/mometasone,1002293,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics","ANTIASTHMA,OTHER",120 ACTUAT formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.05 MG/ACTUAT Metered Dose Inhaler [Dulera]
RXNORM:10030,stannous fluoride,10030,Caries prophylactic agents,"CARIOSTATICS,TOPICAL",stannous fluoride 0.004 MG/MG Oral Gel [Perfect Choice]
RXNORM:10032,stanozolol,10032,Androstan derivatives,,
RXNORM:10046,starch,10046,,,
RXNORM:1005921,ulipristal,1005921,Progesterone receptor modulators|Emergency contraceptives,"CONTRACEPTIVES,SYSTEMIC",ulipristal acetate 5 MG Oral Tablet
RXNORM:1006917,estrogens/medroxyprogesterone,1006917,,"HORMONES/SYNTHETICS/MODIFIERS,OTHER","{28 (estrogens, conjugated (USP) 0.45 MG / medroxyprogesterone acetate 1.5 MG Oral Tablet) } Pack"
RXNORM:1006930,coenzyme q10/levocarnitine,1006930,,HERBS/ALTERNATIVE THERAPIES,levocarnitine / ubidecarenone Pill
RXNORM:1006997,benzocaine/salicylic acid,1006997,,"KERATOLYTICS/CAUSTICS,TOPICAL",benzocaine 0.02 MG/MG / salicylic acid 0.55 MG/MG Topical Ointment [Salinocaine]
RXNORM:1007122,capsaicin/menthol,1007122,,"ANALGESICS,TOPICAL",capsaicin 0.00025 MG/MG / menthol 0.0125 MG/MG Medicated Patch
RXNORM:1007374,hyoscyamine/methenamine/methylene blue/phenyl salicylate/sodium...phosphate,1007374,,"ANTISPASMODICS,URINARY,OTHER","hyoscyamine sulfate 0.12 MG / methenamine 81.6 MG / methylene blue 10.8 MG / phenyl salicylate 36.2 MG / sodium phosphate, monobasic 40.8 MG Oral Tablet [Urin DS]"
RXNORM:1007537,chondroitin/glucosamine/methylsulfonylmethane,1007537,,HERBS/ALTERNATIVE THERAPIES,chondroitin sulfates / glucosamine / methylsulfonylmethane
RXNORM:1007560,alendronate/cholecalciferol,1007560,,"HORMONES/SYNTHETICS/MODIFIERS,OTHER",alendronic acid 70 MG / cholecalciferol 2800 UNT Oral Tablet [Fosamax Plus D]
RXNORM:1007573,cyanocobalamin/folic acid,1007573,,,
