"Variable","Description","Integrative_Estimator_RPDR","Integrative_Estimator_VA","Local_Estimator_RPDR","Local_Estimator_VA"
"CCS:169","debridement of wound, infection or burn",0.0171034684976578,-0.0033844986931102,0.00353884658258751,0
"CCS:172","skin graft",0.0052169118404882,-0.000747658464728808,0.00883035729668233,0
"CCS:176","other organ transplantation",0,0,0,0
"CCS:178","ct scan chest",0,0,0,0
"CCS:183","routine chest x-ray",0.0117566000006103,0.0099669830780665,0.00174679074550211,0
"CCS:185","upper gastrointestinal x-ray",0,0,0.00605472216727683,0
"CCS:193","diagnostic ultrasound of heart echocardiogram",0,0,0,0
"CCS:199","electroencephalogram eeg",-0.000139088264759383,0.000954673698990954,0,0
"CCS:204","swan-ganz catheterization for monitoring",0,0,0,0
"CCS:205","arterial blood gases",0.00410287354268353,0.00528132981351076,0,0.021374527231102
"CCS:216","respiratory intubation and mechanical ventilation",0.0556985943341275,0.0292845435917866,0.0578762408900459,0.0149633164418363
"CCS:217","other respiratory therapy",0.0321663053064165,0.0296932896617927,0.0329092616574654,0.0274654834620175
"CCS:222","blood transfusion",0,0,0,0
"CCS:223","enteral and parenteral nutrition",0.00584276786117932,0.00362810837283924,0.0103434491277737,0
"CCS:225","conversion of cardiac rhythm",0,0,0,0
"CCS:229","nonoperative removal of foreign body",0,0,0,0
"CCS:31","diagnostic procedures on nose, mouth and pharynx",0,0,0,0
"CCS:34","tracheostomy, temporary and permanent",0.0400739089848862,0.0534738598421517,0.0406335216559579,0.0563386347721651
"CCS:36","lobectomy or pneumonectomy",0,0,0.000398202311157139,0
"CCS:37","diagnostic bronchoscopy and biopsy of bronchus",0.0818228334240363,0.0247927219694906,0.0732599812549765,0.0276955567708392
"CCS:39","incision of pleura, thoracentesis, chest drainage",0.00121748185982821,0.00127004467284294,0,0
"CCS:40","other diagnostic procedures...mediastinum",0,0,0,0
"CCS:41","other non-or therapeutic...system",0.00896878921058484,0.010998673558259,0.00245816304484868,0.0216633892760642
"CCS:42","other or therapeutic...system",0.0528678956641305,0.0196031589377881,0.0467751904454333,0.00435802262809272
"CCS:43","heart valve procedures",0,0,0,0
"CCS:44","coronary artery bypass graft cabg",0,0,0,0
"CCS:49","other or heart procedures",0,0,0,0
"CCS:50","extracorporeal circulation auxiliary...procedures",0,0,0,0
"CCS:52","aortic resection, replacement or anastomosis",0.000269498875180734,7.58700155098648e-05,0.000970554536251111,0
"CCS:56","other vascular bypass and shunt, not heart",0,0,0.00381812118948742,0
"CCS:66","procedures on spleen",0,0,0.00968522490167479,0
"CCS:71","gastrostomy, temporary and permanent",0.0113222516738303,0.0255508723694363,0.00966205405635459,0.0334183793401366
"CCS:72","colostomy, temporary and permanent",0,0,0,0
"CCS:73","ileostomy and other enterostomy",0.0139977914969162,0.00476208777893025,0.0197685357246785,0
"CCS:74","gastrectomy, partial and total",0,0,0,0
"CCS:75","small bowel resection",0,0,0.00474237926029881,0
"CCS:89","exploratory laparotomy",0.00242030764088343,0.00125386904539605,0.021234555660658,0.0127519120249473
"CCS:91","peritoneal dialysis",0,0,0,0
"CCS:94","other or upper gi therapeutic procedures",0.00531154663840996,0.000936779852537348,0.00972411586741543,0
"CCS:99","other or gastrointestinal therapeutic procedures",0.0187271585872875,0.0144316404949481,0.000865880005317427,0.00967867681368446
"LOINC:10378-8","polychromasia",0,0,0,0
"LOINC:10839-9","troponin-i group:trop-i",0,0,0.000891845617855572,0
"LOINC:11555-0","base excess",0,0,0,0.0205536463308424
"LOINC:11556-8","oxygen",0,0,0,0.016487126226783
"LOINC:11557-6","unspecified pco2 group:bpco2",0,0,0.0400079119091008,0
"LOINC:11558-4","ph",0.0720773727641464,0.0496299826185231,0.00666018879628541,4.80106205301859e-05
"LOINC:12234-1","mesothelial cells/100 leukocytes",0,0,0,0
"LOINC:12950-2","fluid triglycerides group:ftri",0,0,0.025390309106335,0
"LOINC:13327-2","parainfluenza virus ag",0,0,0.00515413335025747,0
"LOINC:14338-8","prealbumin group:prealb",0.0268279136307087,0,0.0547333049692506,0
"LOINC:14979-9","coagulation surface induced",0,0,0,0
"LOINC:15212-4","lipase, fluid u/l group:flipa",0,0,0.0137799182146241,0
"LOINC:17790-7","lshift group:lshift",0.00814807923595694,0,0.0452732688864335,0
"LOINC:1922-4","base deficit, arterial group:abased",0,0,0,0
"LOINC:1925-7","arterial hco3 group:abasex",0.0958571430140253,0,0.08166211326381,0
"LOINC:1959-6","unspecified hco3 group:hc03",0,0,0.000727322205931331,0
"LOINC:1994-3","ionized calcium group:ic",0,0,0.0182547822188324,0
"LOINC:19994-3","oxygen/inspired gas setting",0,0,0,0
"LOINC:2019-8","arterial pco2 group:apco2",0,0,0,0
"LOINC:2021-4","venous pco2 group:vpco2",0,0,0,0
"LOINC:2030-5","carboxy hgb group:cohgb",0,0,0.0140983262720573,0
"LOINC:20563-3","carboxyhemoglobin/hemoglobin.total",0,0,0,0
"LOINC:20578-1","vancomycin group:unvanc",0,0,0.0233509640779461,0
"LOINC:23301-5","mycoplasma dna group:mycdnastn",0,0,0,0
"LOINC:25160-3","granular casts",0,0,0,0
"LOINC:2524-7","lactate",0,0,0,0
"LOINC:2614-6","methemoglobin/hemoglobin.total",0.0130231977066908,0.00561581478614652,0.0224124189250767,0
"LOINC:2639-3","myoglobin",0.00366990626777596,-0.000284896123512842,0.00751003682978533,0
"LOINC:2640-1","urine myoglobin group:umyo",0,0,0,0
"LOINC:26458-0","erythrocytes",0,0,0,0
"LOINC:2695-5","osmolality",0,0,0,0
"LOINC:2703-7","arterial po2 group:apo2",0,0,0.0469940623469225,0
"LOINC:2704-5","capillary po2 group:cpo2",8.04614327555492e-05,0,0.000551636814019705,0
"LOINC:2705-2","venous po2 group:vpo2",0,0,0,0
"LOINC:2713-6","oxygen saturation",0.0369550052357953,0.0126667338459253,0.0135747308762432,0.00896914952093946
"LOINC:2744-1","arterial ph group:aph",0,0,0,0
"LOINC:2746-6","venous ph group:vph",0,0,0,0
"LOINC:2777-1","phosphate",0,0,0,0
"LOINC:2947-0","na - pl group:na-pl",0.00411590298397434,0,0.00923006407605305,0
"LOINC:29605-3","appearance",0,0,0,0
"LOINC:31159-7","heparin anti-xa group:xaab",0,0,0,0
"LOINC:3151-8","fio2 group:fio2",0,0,0,0
"LOINC:3320-9","amikacin group:unamik",0,0,0.0259209566408801,0
"LOINC:3834-9","napa group:napa",0,0,0.0201488673529219,0
"LOINC:3983-4","procainamide + napa group:proc",0,0,0,0
"LOINC:41292-4","mesothelin group:mesothln",0,0,0.0120071774169915,0
"LOINC:41499-5","legionella pneumophila 1 ag",0,0,0,0.00652484827740863
"LOINC:4545-0","mhct group:mhct",0,0,0.0117998137567312,0
"LOINC:5898-2","ptt group:ptt",0,0,0,0
"LOINC:6002-0","heparin-pf4 antibody group:hpia",0,0,0.00677062483513593,0
"LOINC:6298-4","k - pl group:k-pl",0.0343742538871372,0,0.0347484654718956,0
"LOINC:703-9","basophilic stippling",0,0,0,0
"LOINC:740-1","metamyelocytes/100 leukocytes",0,0,0,0
"LOINC:81639-7","heparin dose response group:hep-doseresp",0,0,0,0
"LOINC:8310-5","body temperature",0.00803650036147659,0.0132777108822538,0,0.00791609299343517
"LOINC:X1002-1","unspec urine glu group:u/uglu",0,0,0,0
"LOINC:X1003-2","unspec urine phos group:u/up",0,0,0.0110483891732435,0
"LOINC:X1004-3","unspec urine un group:u/uun",0,0,0.0161298181278725,0
"LOINC:X1007-6","unspec urine mg group:u/umg",0.00316009192240012,0,0.0246637979268838,0
"LOINC:X1012-1","unspec urine osm group:u/uosm",0,0,0.0113420553800483,0
"LOINC:X1013-2","unspec urine cl group:u/ucl",0.00307213782974368,0,0.00791046707742241,0
"LOINC:X1015-4","unspec urine na group:u/una",0,0,0.00471610887946593,0
"LOINC:X1174-2","hct bg group:hct bg",0,0,0,0
"LOINC:X1379-7","misc test, csf group:misccsf",0,0,0,0
"LOINC:XC491-1","lactate, blood group:lactbld",0,0,0.0153767953612354,0
"Other lab:1000000277","so2",0,0.084594894267981,0,0.053849403644144
"Other lab:1000001470","stomato",0,0,0,0.000985748330274898
"Other lab:1000008168","%rhb",0,0.0117316368926496,0,0.0213833129802907
"Other lab:1000010933","zzfio2",0,0,0,0
"Other lab:1000012623","pco2",0,0.0331187781381186,0,0.0170746922538346
"Other lab:1000018774","poikilo",0,0,0,0
"Other lab:1000019065","md slide",0,0,0,0
"Other lab:1000019066","urobili",0,0,0,0
"Other lab:1000019803","p50",0,0,0,0
"Other lab:1000024971","pco2",0,0,0,0
"Other lab:1000025951","na-ran ur",0,0.0163022447116751,0,0.00243955736180394
"Other lab:1000026707","zzpco2",0,0,0,0
"Other lab:1000027481","spe tp",0,0.0242446909524734,0,0.00689841877972518
"Other lab:1000028986","d-dimer",0,0.00266331595302573,0,0.00582312612302806
"Other lab:1000029031","zz o2 sat",0,0,0,0
"Other lab:1000030046","pco2@",0,0,0,0.0387813249562016
"Other lab:1000030533","cr,ran ur",0,0.0014846528785229,0,0.00999317019118645
"Other lab:1000030856","gamma glob",0,0.0118565291640986,0,0.0335061943026817
"Other lab:1000031285","a1 globuli",0,0.000420682007971768,0,1.46318275262468e-05
"Other lab:1000032191","p alb r",0,0,0,0.00414692529628986
"Other lab:1000032401","ana",0,0,0,0
"Other lab:1000032866","val acd",0,0,0,0
"Other lab:1000033397","po2",0,0.0446925172587753,0,0.0340068769826693
"Other lab:1000033662","plt suf",0,0,0,0
"Other lab:1000033908","ado2",0,0,0,0.00198240844415705
"Other lab:1000034160","u gluc",0,0.00683291066704716,0,0
"Other lab:1000034181","micro",0,0.0147436678697224,0,0
"Other lab:1000037202","ss",0,0,0,0
"Other lab:1000037936","segs",0,0,0,0.00168646716461207
"Other lab:1000038170","amor sed",0,0.0414203224314542,0,0.026420619219825
"Other lab:1000039079","lymph#",0,0,0,0
"Other lab:1000039519","phenyto",0,0.0250610731281793,0,0.0224476594130252
"Other lab:1000040714","retic",0,0.013772957359978,0,0
"Other lab:1000040905","po2-rc",0,0.0282220015748837,0,0.0549292349074392
"Other lab:1000040942","wbc clum",0,0.0225426553095573,0,0.0203710808505536
"Other lab:1000041968","plt mor",0,0,0,0
"Other lab:1000041975","tot p",0,0,0,0
"Other lab:1000042097","baso#",0,0,0,0
"Other lab:1000043143","pth int",0,0,0,0
"Other lab:1000043162","ca",0,0,0,0
"Other lab:1000043164","urc",0,0,0,0
"Other lab:1000043922","ur a cryst",0,0.00631520323120154,0,0.00846447838742558
"Other lab:1000043956","o2ct.",0,0,0,0
"Other lab:1000044240","vancomy",0,0.0488614137767862,0,0.0155004718606357
"Other lab:1000044857","pco2",0,0.00559533749104802,0,0.00772373735566156
"Other lab:1000045183","zzo2ct",0,0.000373357104265062,0,0.0194207911679356
"Other lab:1000048130","pco2",0,0,0,0
"Other lab:1000049900","barbs",0,0,0,0
"Other lab:1000052532","pco2",0,0,0,9.03710895687956e-06
"Other lab:1000052694","mono#",0,0,0,0
"Other lab:1000053948","pco2,an",0,0,0,0
"Other lab:1000054591","o2 sat",0,0,0,0
"Other lab:1000055174","zzhbco",0,5.20548568331601e-05,0,2.78718475842074e-06
"Other lab:1000056378","po2temp",0,0.0195482895358938,0,0.0148775530592363
"Other lab:1000057206","prealb",0,0.0127881801250218,0,0.0295647134397891
"Other lab:1000057549","beta globu",0,0,0,1.22297640964659e-05
"Other lab:1000058156","tp,ur",0,0,0,0.00450135159085831
"Other lab:1000058751","rbc mor",0,0,0,0
"Other lab:1000059324","vol. ch",0,0.0164077810396983,0,0.0256754542681398
"Other lab:1000060401","zzpo2",0,0,0,0
"Other lab:1000062353","vanr",0,0,0,0
"Other lab:1000062636","pco2tmp",0,0.000253951128584727,0,0
"Other lab:1000063018","pco2@",0,0,0,0.00259804072585905
"Other lab:1000063416","man",0,0,0,0.00309899247725148
"Other lab:1000063941","ur. bld",0,0,0,0
"Other lab:1000066586","a2 globuli",0,0,0,0
"Other lab:1000067363","fio2",0,0,0,0
"Other lab:1000067444","pco2",0,0,0,0.0160587575160866
"Other lab:1000067626","s.type",0,0,0,0
"Other lab:1000068369","a/a gra",0,0,0,0
"Other lab:1000070216","e time",0,0.000372884567321186,0,0.00383555743623951
"Other lab:1000072011","pco2",0,0,0,0
"Other lab:1000072620","%so2m",0,0,0,0.000234787754343967
"Other lab:1000073089","protein",0,0,0,0
"Other lab:1000073263","film scrn",0,0.0217661883020224,0,0.0430217150075117
"Other lab:1000073305","bands",0,0,0,0
"Other lab:1000073734","pco2-rc",0,0,0,0.00264280191707131
"Other lab:1000073955","allen's",0,0,0,0
"Other lab:1000074575","leu",0,0,0,0
"Other lab:1000075343","carbon",0,0,0,0
"Other lab:1000075693","eos#",0,0,0,0
"Other lab:1000078064","o2sat",0,0.0128069988171347,0,0.01251609915606
"Other lab:1000081890","methb",0,0.000174333800250984,0,0
"Other lab:1000085602","shunt",0,0.00733725951550194,0,0.0190134938273673
"Other lab:1000093420","p50",0,0,0,0.00282599674781801
"Other lab:1000094785","pco2",0,0,0,0.00762757216199671
"Other lab:1000097156","\allens",0,0,0,0.00273113426481676
"Other lab:1000097182","\delvry",0,0,0,5.18951291251064e-06
"Other lab:1000097183","\site",0,0,0,0
"Other lab:1000103344","pre alb",0,0.050330511124377,0,0.0434643832325034
"Other lab:1000105133","pltest auto",0,0.00122756992511272,0,0.0097198958829958
"Other lab:1000105302","poc pco2",0,0.0413859138417485,0,0.0773549188564732
"Other lab:1000105427","hco3-poc",0,2.65593836053816e-05,0,0
"Other lab:1000105428","tc02-poc",0,0,0,0
"Other lab:1000105474","allen-poc",0,0.0358428170124053,0,0.0467228037328076
"Other lab:1000105475","site-poc",0,2.23037726230089e-05,0,0.000485031903837387
"Other lab:1000105548","fio2-poc",0,0,0,4.46830461696091e-05
"Other lab:1200000190","ica",0,0.0381358336317265,0,0.031925558530756
"Other lab:1200000361","a/a",0,0,0,0
"Other lab:1200002586","pco2",0,0,0,0
"Other lab:1200006088","segs",0,0.00655821728421466,0,0
"Other lab:1200006099","bands",0,0,0,0
"Other lab:1200006142","baso",0,0.000875669616122133,0,0.0195814092801187
"Other lab:1200006153","meta",0,0,0,0
"Other lab:1200006164","myelo",0,0,0,0
"Other lab:1200006274","polychr",0,0.0148822846159035,0,0.00958863186347171
"Other lab:1200006336","atypica",0,0,0,0
"Other lab:1200006359","o2hb%",0,0.0417902616899441,0,0.0243180299922729
"Other lab:1200006371","pco2@",0,0.0120708891678147,0,0.0295156998761602
"Other lab:1200006564","po2t",0,0,0,0
"Other lab:1200006677","cto2",0,0,0,0.0121745741685444
"Other lab:1200006679","pco2",0,0,0,0.0114480944976275
"Other lab:1200006685","pco2t",0,0,0,6.99603308039346e-05
"Other lab:1200006770","pco2",0,0,0,0.00292717319451599
"Other lab:1200007487","po2",0,0.0173200080495183,0,0.028085228332194
"Other lab:1200007654","pco2@",0,0,0,0.0119902033769265
"Other lab:1200008601","pco2",0,0.0015281101412328,0,7.99819948791966e-05
"Other lab:1200012437","pco2",0,0,0,0
"Other lab:1200012439","hco3",0,0,0,0
"Other lab:1200014606","protein",0,0,0,0
"Other lab:1200015540","nrbc",0,0,0,0
"Other lab:1200015547","volume",0,0,0,0
"Other lab:1200019032","fio2",0,0.0123623336861944,0,0.0185218820518435
"Other lab:1200019039","pco2",0,0.00180168375333705,0,0
"Other lab:1200032081","site",0,0,0,0
"Other lab:1200038369","peep",0,0,0,0
"Other lab:1200038440","sat",0,0,0,0.004927558149392
"Other lab:1200038958","o2 content",0,0.000404659699693625,0,0.000320821322715622
"Other lab:1200041865","allens",0,0,0,0.00209563692299625
"Other lab:1200055508","pre-alb",0,0.00530298162956747,0,0.0261807913327487
"Other lab:1200056081","pco2",0,0,0,0
"Other lab:1200059866","trsfrn",0,0.00156173904208038,0,0.000157769220483123
"Other lab:1200064233","n mg++",0,0,0,0
"Other lab:1200066359","aado2",0,0,0,0
"Other lab:1200069826","bg mg++",0,0,0,0
"Other lab:1200070767","ist po2",0,0.03354560593361,0,0.0159962610325886
"Other lab:1200072265","%methb",0,0.00281126893086466,0,0.00412024808913315
"Other lab:1200072806","ist o2",0,8.10456265115138e-05,0,0.000906597563876488
"Other lab:1200075088","%o2hb",0,0,0,9.12112213446126e-05
"Other lab:1200077374","vol%o2",0,0,0,0
"Other lab:1200080461","istpco2",0,1.25964206940889e-05,0,0
"Other lab:1200087498","ca",0,0,0,0
"Other lab:1200091563","cto2",0,0,0,0
"Other lab:1200094173","nsegman",0,0,0,0
"Other lab:1200099453","prealbv",0,0.00838649545538594,0,0.00129300321823819
"Other lab:1200107806","imgran%",0,0,0,0
"Other lab:1200107807","imgran#",0,0,0,0
"Other lab:1200107824","giaplat",0,0.0141638925735502,0,0.00777183618370446
"Other lab:1200107854","difftyp",0,0.000685650766422549,0,0.0265176316812119
"Other lab:1200154392","wbc4",0,0.0388127691710508,0,0
"Other lab:1200154482","rbc4",0,0,0,0
"Other lab:1200154493","hct4",0,0,0,0.000535683707089665
"Other lab:1200154494","mcv4",0,0,0,0
"Other lab:1200154546","mchc4",0,0,0,0
"Other lab:1200154640","mch4",0,0,0,0
"Other lab:1200154641","plt4",0,0,0,0
"Other lab:1200154643","neut%4",0,0,0,0.0413408108136638
"Other lab:1200154644","ly%4",0,0,0,5.78889712532231e-05
"Other lab:1200154645","mono%4",0,0,0,3.76054687306592e-16
"Other lab:1200154649","eosin%",0,0,0,0
"Other lab:1200154650","baso%4",0,0,0,0
"Other lab:1200154654","neut#",0,0,0,0.00276676920250769
"Other lab:1200154655","nrbc#",0,0,0,0
"Other lab:1200154656","nrbc%",0,0,0,0
"Other lab:1200154657","mpv4",0,0,0,0
"Other lab:1200154659","rdwcv",0,0,0,0
"Other lab:1200154660","mono#",0,0,0,2.33377665966308e-05
"Other lab:1200154661","lymph#",0,0,0,4.01123557344667e-16
"Other lab:1200154662","eosi#",0,0,0,0
"Other lab:1200154663","baso#",0,0,0,3.34269631120556e-17
"Other lab:1200154664","imm gran#",0,0,0,0
"Other lab:1200154665","imm gran%",0,0,0,0
"Other lab:1200154675","inst. neut #",0,0,0,0
"Other lab:1400000177","bicarb",0,0.0195856588919614,0,0.0176505667459596
"Other lab:1400017833","prot.",0,0.0179245745218427,0,0.00943392991716802
"Other lab:1400020079","pco2",0,0.000240292912098172,0,0
"Other lab:1400023230","a-ado2",0,0.00195045085275914,0,0.00791334438253168
"Other lab:1400027062","co2ct",0,0.00349382187567346,0,0.00822054572054103
"Other lab:1400027205","bun/cre",0,0,0,0
"Other lab:1400040310","pco2",0,0,0,0.00313336048286886
"Other lab:1400053597","pco2",0,0.0134264839911723,0,0.00223340420394512
"Other lab:1400054065","to2c",0,0.00770237482716057,0,0.0303645164085697
"Other lab:1400057838","cal",0,0,0,0.00276797964023819
"Other lab:1400060118","fio2",0,0.00065830089316831,0,0
"Other lab:1400060121","methb%",0,0,0,0.00434678151301896
"Other lab:1400062542","hhb",0,0,0,0.00613185725291644
"Other lab:1400071268","o2hb",0,0,0,0
"Other lab:800008439","methb%",0,0,0,0
"Other lab:800010995","pco2",0,0,0,0
"Other lab:800022292","ventilation",0,0,0,0
"Other lab:800022610","pco2",0,0,0,0.0151103337961857
"Other lab:800030668","hco3",0,0,0,1.28592198331272e-08
"Other lab:800030967","pco2@pt",0,0,0,0
"Other lab:800063267","pco2",0,0,0,0
"Other lab:800067152","hco3cal",0,0,0,0
"Other lab:800074607","allens",0,0,0,0.00695145705062077
"Other lab:800076811","sam sit",0,0,0,0.00226835339312184
"PheCode:008.5","bacterial enteritis",0,0,0,0
"PheCode:038.1","gram negative septicemia",0.00472724218076823,0.0128528296103439,0,0.00680818518729173
"PheCode:038.2","gram positive septicemia",0.000420790584063163,0.000550974338272345,0,0.00652335399525593
"PheCode:038.3","bacteremia",0,0,0,0
"PheCode:1008","crushing or internal injury to organs",0,0,0,0.00522028040430534
"PheCode:1013","asphyxia and hypoxemia",0,0,0,0.000200798512629474
"PheCode:117.4","aspergillosis",-0.000202431780121869,0.00297063604843106,0,0
"PheCode:150","cancer of esophagus",0.0170871628597489,0.00235503019784211,0.0214386297018407,0
"PheCode:249","secondary diabetes mellitus",0,0,0.00532917457400904,0
"PheCode:250.4","abnormal glucose",0,0,0,0
"PheCode:252.2","hypoparathyroidism",-0.00485194724126656,0.0242523432716936,0,0.0249458932176963
"PheCode:255.2","adrenal hypofunction",0,0,0,0
"PheCode:260.2","severe protein-calorie malnutrition",0.000689574562541356,0.0144934195324584,0,0.0151007246638524
"PheCode:263","other nutritional deficiency",0.016630982492098,-0.000980733258719139,0.02073724249187,0
"PheCode:276.1","electrolyte imbalance",0,0,0,0
"PheCode:276.4","acid-base balance disorder",0.00358997942082597,0.00701934206391155,0,0
"PheCode:276.6","fluid overload",0.0177053491289567,0.0105480011118272,0.00490825175289635,0
"PheCode:285.1","acute posthemorrhagic anemia",0.0136932827006878,0.00464522940265793,0.0166835063319845,0
"PheCode:286.6","defibrination syndrome",0,0,0,0
"PheCode:286.9","abnormal coagulation profile",-0.00110225993267006,0.00261111988826125,0,0.005485755313193
"PheCode:290.2","delirium due to conditions classified elsewhere",0,0,0.00474373821617764,0
"PheCode:291.8","alteration of consciousness",0,0,0,0
"PheCode:323.2","acute transverse myelitis",0.0195922938862796,-0.00011155678305003,0.0371706649379476,0
"PheCode:334.2","anterior horn cell disease",0.0210070259420205,0.00450907389140897,0.0426484064414613,0
"PheCode:338.1","acute pain",0,0,0.00952612915540613,0
"PheCode:348.7","coma",-0.00217978440641213,0.00879411954289028,0,0.000146264495280248
"PheCode:348.8","encephalopathy, not elsewhere classified",5.77613536266347e-05,0.00300577166254866,0,0.00228500268509833
"PheCode:359.1","muscular dystrophies",0.016946981459157,-0.00160165780834837,0.0280763542393341,0
"PheCode:359.2","myopathy",0.00745455795920868,0.0123499121723396,0.018092433610048,0.0137367648429223
"PheCode:415.2","chronic pulmonary heart disease",0,0,0,0
"PheCode:416","cardiomegaly",0,0,0,0
"PheCode:420.2","pericarditis",0,0,0,0
"PheCode:427.4","cardiac arrest and ventricular fibrillation",0.00504956862755046,0.0156695146147709,0,0.0219108252692595
"PheCode:427.5","arrhythmia cardiac nos",0,0,0.00128586428500945,0
"PheCode:427.7","tachycardia nos",0,0,0,0
"PheCode:429.2","abnormal function study of cardiovascular system",0,0,0.0136581748107511,0
"PheCode:429.9","cardiac complications, not elsewhere classified",0.0181134471629043,0.0044782164577636,0.0207603994208302,0
"PheCode:441.1","acute vascular insufficiency of intestine",0.00699946650091837,0.00340690459952257,0.0154149628494843,0
"PheCode:442.1","aortic aneurysm",0,0,0.00889248286872961,0
"PheCode:452.1","iatrogenic pulmonary embolism and infarction",0.0181572933920953,0.0151216639238151,0.0257037552291776,0
"PheCode:458.2","iatrogenic hypotension",0,0,0.00404724351761281,0
"PheCode:458.9","hypotension nos",0.00082800991232233,0.000609440508021177,0.00926259246853433,0
"PheCode:465.4","acute laryngitis and tracheitis",0.0124753360099076,0.0154178465616774,0.0133693282545186,0.0165878884961824
"PheCode:473.3","paralysis/spasm of vocal cords or larynx",0,0,0.00851918070637503,0
"PheCode:473.4","voice disturbance",-0.000313261478971694,0.00184492328626404,0,0
"PheCode:479","other upper respiratory disease",0,0,0,0
"PheCode:480.1","bacterial pneumonia",0.0100722474243508,0.00971014023491261,0.0221081418332726,0.0223214538167622
"PheCode:480.2","viral pneumonia",0.030931876814585,0.0313624046043464,0.0317695791014582,0.0177375604260756
"PheCode:480.3","pneumonia due to fungus mycoses",0.00630143824733205,0.0249608839891791,0,0.0333875022124136
"PheCode:480.5","bronchopneumonia and lung abscess",0.00237617393569083,0.00244257970587348,0,0.0031217089173601
"PheCode:481","influenza",0.00136512073744837,0.00603428703155393,0,0.0142184732925412
"PheCode:496.2","chronic bronchitis",0,0,0,0.000438257559818542
"PheCode:500.1","extrinsic allergic alveolitis",0.0297344287802054,-0.00604832378123472,0.0295878145527424,0
"PheCode:501","pneumonitis due to inhalation of food or vomitus",0.0207566943337617,0.0265981783197561,7.05702085657698e-05,0.0251832381974335
"PheCode:502","postinflammatory pulmonary fibrosis",0.00149993685323447,0.00236941469855861,0,0.0108665830191045
"PheCode:503","pulmonary congestion and hypostasis",0.0257577060481952,0.0337034100019217,0.00167897939669608,0.0335979052659796
"PheCode:504.1","idiopathic fibrosing alveolitis",0.033443978629913,0.0264474532122998,0.0243135978453229,0.0162063512359474
"PheCode:505","other pulmonary inflamation or edema",0.0459362096569606,0.0552751805750965,0.0429568620288526,0.0347618684441261
