"Variable","Description","Integrative_Estimator_RPDR","Integrative_Estimator_VA","Local_Estimator_RPDR","Local_Estimator_VA"
"CCS:130","other diagnostic procedures, female organs",0.0168342398192638,0.00302578808162993,0.0068783473332946,0.00432450856075159
"CCS:131","other non-or therapeutic procedures, female organs",0.0232313675520289,0.0251676688705566,0.0107890566479504,0.0338295648105692
"CCS:165","breast biopsy and...breast",0.129392345272549,0.109238675101668,0.119927968375766,0.12122265560465
"CCS:166","lumpectomy, quadrantectomy of breast",0.0803809198210235,0.0833632568707415,0.126646512466714,0.108402358366252
"CCS:167","mastectomy",0.0357276455076663,0.0508321609139453,0.0228711203856089,0.0653947644304785
"CCS:170","excision of skin lesion",-5.09642045170403e-05,0.00249983956569557,0.0184837359519869,0
"CCS:173","other diagnostic procedures...tissue",0.0288568098483907,0.0120372473985635,0.0112405006091244,0
"CCS:175","other or therapeutic procedures on skin and breast",0.00598544075998403,0.0181886617629891,0.0207467255004956,0.0198399711492226
"CCS:182","mammography",0.156877752480227,0.0582078130824265,0.130829455016107,0.0866150484914261
"CCS:197","other diagnostic ultrasound",0.0369786339768621,0.015708521464078,0.0347228212858336,0.0137791259800657
"CCS:198","magnetic resonance imaging",0.0174600069076432,0.00363305996389969,0.0214892369377164,0
"CCS:207","radioisotope bone scan",0.0312539320238583,0.0121010463153725,0.029046937353587,0
"CCS:209","radioisotope scan and function studies",0.00322537362895642,0.00287838827768679,0.002962767193286,0
"CCS:226","other diagnostic radiology and related techniques",0.0201073601918343,0.00777834922210096,0.0303696854220889,0
"CCS:227","other diagnostic procedures...consultation",0,0,0,0
"CCS:228","prophylactic vaccinations and inoculations",0.00152520749720623,0.00158752025304143,0,0
"CCS:230","extracorporeal shock wave, other than urinary",0.0755584552326726,-0.00289409090952978,0.0909054306498862,0
"CCS:234","pathology",0.0237702107953047,0.00339622034626943,0.0230574820918961,0.00455046836133033
"CCS:237","ancillary services",0,0,0,0
"CCS:243","dme and supplies",0.0144054893490519,-0.00118579817219724,0.0183309422510785,0
"CCS:67","other therapeutic procedures,...system",0.0224666810098806,0.0162837189408542,0.0281692861077361,0.022910170846006
"CCS:76","colonoscopy and biopsy",0.00805871942664304,0.00275189502375944,0.0275413772672656,0
"LOINC:13453-6","mean bld glucose, calc'd group:mglu",0,0,0,0
"LOINC:14815-5","calculated ldl group:ldlcal",0,0,0,0
"LOINC:15152-2","bili conjugated group:cbili",0.0096861991003127,0,0.0107061045284004,0
"LOINC:15153-0","bili unconjugated group:ubili",0.0198127729108225,0,0.0243962278795544,0
"LOINC:16280-0","human papilloma virus dna",-0.00286057131724688,0.0122165070498302,0,0.0294958442809106
"LOINC:19080-1","choriogonadotropin",0,0.0176077489885631,0,0.0305435309945178
"LOINC:1989-3","calcidiol",0,0,0,0
"LOINC:2006-5","ca125 group:ca125",0,0,0.0181796084097456,0
"LOINC:2012-3","ca27-29 group:ca27-29",0.0285481259091223,0,0.0505287201948887,0
"LOINC:2039-6","carcinoembryonic ag",0.00780016008411249,0.00284688926284748,0.00460579004089167,0
"LOINC:2086-7","hdl group:hdl",0,0,0,0
"LOINC:2090-9","ldl group:ldl",0,0,0,0
"LOINC:2092-5","vldl group:vldl",0,0,0,0
"LOINC:2093-3","cholesterol group:chol",0,0,0,0
"LOINC:2106-3","choriogonadotropin pregnancy test",0.00128423930805399,-0.000250753111223804,0,0
"LOINC:2110-5","choriogonadotropin.beta subunit pregnancy test",0,0,0,0.000429607667938955
"LOINC:21416-3","gc dna group:ngon-dna",0,0,0.00342917086512614,0
"LOINC:21613-5","c. trachomatis dna group:chlmtdna",0,0,0,0
"LOINC:2286-3","fsh group:fsh,ch",0,0,0.0120901305541082,0
"LOINC:24111-7","neisseria gonorrhoeae dna",0,0,0,0.00383266592471572
"LOINC:2574-2","direct ldl group:ldldir",0,0,0.0113072770237118,0
"LOINC:2579-1","lh group:lh,chm",0,0,0.00944514727247375,0
"LOINC:2842-3","prolactin",0.00560625401819295,0.0130492736771179,0,0.0186546099172538
"LOINC:30167-1","human papilloma virus...dna",0,0,0,0.0212952810423507
"LOINC:43304-5","chlamydia trachomatis rrna",-0.00753206447622083,0.0153376289147011,0,0.00648173527073461
