"Variable","Description","Integrative_Estimator_RPDR","Integrative_Estimator_VA","Local_Estimator_RPDR","Local_Estimator_VA"
"CCS:100","endoscopy and endoscopic...tract",-0.0139154639312116,0.0263592418597577,0,0.0239226232231061
"CCS:101","transurethral excision, drainage,...obstruction",-0.0133463838021101,0.0234524779232719,0,0.027052149272499
"CCS:102","ureteral catheterization",-0.00878078815272773,-0.000442174141804175,0,0
"CCS:108","indwelling catheter",-0.00355437778928146,0.0343017222613334,0,0.0422085384807451
"CCS:111","other non-or therapeutic...tract",-0.0111097475335198,0.0144336655643079,0,0.0107165704192265
"CCS:112","other or therapeutic procedures of urinary tract",-0.00849445596322088,0.00622403284599556,0,0
"CCS:116","diagnostic procedures, male genital",-0.00924352497997984,-0.00967532334005452,0,0
"CCS:200","nonoperative urinary system measurements",0.090006459275715,-0.001051298123766,0.0951879113575173,0.0113610505165363
"CCS:206","microscopic examination bacterial...toxicology",-0.00366108552891345,-0.00131819605421825,0,0
"CCS:224","cancer chemotherapy",0.109908449623706,0.035182222256367,0.116592681590975,0.0280126171966496
"CCS:240","medications injections, infusions and other forms",0.339924021332604,-0.00158557986264424,0.345804363818182,0
"LOINC:11277-1","epithelial cells.squamous",0,0,0,0.00534606383470255
"LOINC:13945-1","erythrocytes",0.00235107821876342,-0.0108117131304547,0,0
"LOINC:20453-7","epithelial cells",-0.000734676526012701,0.00259260055045172,0,0.0142894543230317
"LOINC:20455-2","leukocytes",0.00169294667235864,0.0161580634893993,0,0.013145721389339
"LOINC:2514-8","ketones",0,0,0,0.0122802244752612
"LOINC:25145-4","bacteria",0.00114869874604056,0.00436429951424132,0,0.00643876559076081
"LOINC:26052-1","epithelial cells.renal",0,0.0203687080591733,0,0.0152727457364162
"LOINC:33804-6","erythrocyte casts",0,0.0134251121212942,0,0.0178664479396853
"LOINC:5767-9","appearance",0,0.00993816785314519,0,0.011872836422466
"LOINC:5778-6","color",0,0,0,0.00676547221624976
"LOINC:5793-5","granular casts",0,0.00381073742772875,0,0.0138557088968683
"LOINC:5796-8","hyaline casts",0,0,0,0.000994297980996502
"LOINC:5802-4","nitrite",0,0.0207683137291874,0,0.000319884587966488
"LOINC:5803-2","ph",0,0.00796953014733129,0,0.00284444214238765
"LOINC:5811-5","specific gravity",0,0.00168768817185262,0,0.00177634370625179
"LOINC:5820-6","leukocyte casts",0.00131504465543288,0.00135373887144028,0,0.00308227516839366
"LOINC:5821-4","leukocytes",0,0.0119958329909154,0,0.0171020609042207
"LOINC:67848-2","leukocyte clumps",0,0,0,0
"LOINC:8247-9","mucus",0,0,0,0
"Other lab:1000000820","leu ase",0,0.0948176902397588,0,0.053585483020413
"Other lab:1000001112","ur gluc",0,0.0459772619934032,0,0.0609557333688036
"Other lab:1000005729","ua prot",0,0.0385916488887428,0,0.0612024275473791
"Other lab:1000005843","leukest",0,6.50908563864187e-08,0,0
"Other lab:1000010449","ua glu",0,0,0,0
"Other lab:1000011139","urobili",0,0.0571273277881485,0,0.0389837635097829
"Other lab:1000011141","ua prot",0,1.63427689435906e-06,0,0.00165018158233536
"Other lab:1000011275","ur. bld",0,0,0,0
"Other lab:1000012937","urobili",0,7.08402895999106e-05,0,1.22782412026313e-05
"Other lab:1000013568","urleue",0,0.114223161423021,0,0.105226453447455
"Other lab:1000015091","wbc c",0,0.0300096241009588,0,0.0192230954625257
"Other lab:1000015738","ur wbc",0,0.0235890092007754,0,0.0161163584573328
"Other lab:1000017110","ur. bld",0,0.00989098555969187,0,0
"Other lab:1000018866","ua gluc",0,0.00050549512673044,0,0
"Other lab:1000021534","urobili",0,0.037765417592472,0,0.0177416721591731
"Other lab:1000024999","protein",0,2.54216828228564e-05,0,1.59958153489963e-05
"Other lab:1000025758","leu ase",0,5.79332305507927e-05,0,0.0154650382930572
"Other lab:1000026767","ur. bld",0,0,0,0
"Other lab:1000027328","glu",0,0,0,0
"Other lab:1000033325","ur.gluc",0,0.0645906996932778,0,0.0382311640776131
"Other lab:1000033499","leu est",0,0.0718740845508595,0,0.0610649039477205
"Other lab:1000037118","ur. bld",0,0.000341053694067289,0,0.00132952559318223
"Other lab:1000037466","blood",0,7.64597243664607e-06,0,0
"Other lab:1000039220","leu est",0,0.0252169077516925,0,0.00915481374349955
"Other lab:1000039483","urgluc",0,0.0547750531353844,0,0.0584275038072399
"Other lab:1000040607","urprot",0,0.000523787111965353,0,0.00141088544746638
"Other lab:1000043848","urobili",0,0.0710794311890648,0,0
"Other lab:1000044159","leu ase",0,0.0117165809406329,0,0.0720850575107272
"Other lab:1000044330","glu",0,0.00108748476577156,0,0.00595142515049358
"Other lab:1000045921","urobili",0,0.000288083134352064,0,0.000818807124056675
"Other lab:1000045986","ur. bld",0,7.94461353309597e-05,0,0
"Other lab:1000046002","protein",0,0,0,1.41649915105543e-06
