"Variable","Description","Integrative_Estimator_RPDR","Integrative_Estimator_VA","Local_Estimator_RPDR","Local_Estimator_VA"
"CCS:212","diagnostic physical therapy",0,0,0.0102049221452739,0
"CCS:213","physical therapy exercises,...procedures",0,0,0.0131769611026729,0
"CCS:232","anesthesia",0.00421853142107428,-0.00180991049055588,0.0135920359288455,0
"CCS:240","medications injections, infusions and other forms",9.18104841340005e-05,0.012218883157356,0,0.00333841037720141
"CCS:243","dme and supplies",-0.00293973113713033,0.0258233953759416,0,0.0040282375757517
"CCS:91","peritoneal dialysis",-0.00301861659637256,0.0429040049910454,0,0.0309330690948992
"LOINC:12556-7","copper mg/dl group:cu",0,0,0.00697051194974308,0
"LOINC:15188-6","quant. ur kappa lc group:qubjk",0,0,0.00704448735671855,0
"LOINC:20569-0","ck-mb% group:%ckmb",0,0,0.0267292450273155,0
"LOINC:26444-0","abs basos group:abasop",0,0,0.00765527315092417,0
"LOINC:26449-9","abs eos group:aeosn",0,0,0.00743903369206416,0
"LOINC:26450-7","eosinophils group:eosp",0,0,0.00626655501773619,0
"LOINC:26484-6","abs monos group:amons",0,0,0.00474775032882076,0
"LOINC:26511-6","neutrophils group:neut",0,0,0.00381019688708688,0
"LOINC:2777-1","phosphate",0,0,0.0148252144647206,0
"LOINC:2940-5","serotonin group:sero",0,0,0.00349238268495742,0
"LOINC:30180-4","basophils group:basop",0,0,0.00656555431839091,0
"LOINC:4659-9","lap group:lap",0,0,0.00843051790766028,0
"LOINC:5271-2","anti-gpc ab group:gpc",0,0,0.00562818111405713,0
"LOINC:6598-7","troponin-t group:trop-t",0,0,0.015192813692383,0
"LOINC:6773-6","ck-mb quant group:cpk-mb",0,0,0.0126284780754846,0
"LOINC:702-1","anisocytosis",0,0,0.0129367148799204,0
"LOINC:728-6","hypochromia",0,0,0.0152749842023713,0
"LOINC:738-5","macrocytes",0.000835433888160989,-0.00018886717035568,0.0189848993383332,0
"LOINC:741-9","microcytes",0.00444378407324598,-0.00125984320793366,0.0181336322852688,0
"LOINC:X1220-3","stool examination group:stlex",0,0,0.0116019206116681,0
"LOINC:X2012-1","differential request group:diffr",0,0,0.0149881961866171,0
"Other lab:1200123621","rdw-sd",0,0.057277738068359,0,0.0480023081003677
"Other lab:1400039564","mo #",0,0.0434881261531123,0,0.0229679778777475
"Other lab:1400040982","baso%",0,0.0203615952358307,0,0.0258823380904338
"Other lab:1400052404","ly%",0,0.000152612626983136,0,0.00032989568326765
"Other lab:1400056024","mo%",0,2.72398114789043e-08,0,0
"Other lab:1400056512","ba %",0,0.00477596109570446,0,0
"Other lab:1400058174","ba #",0,0,0,0
"Other lab:1400061441","ly #",0,0,0,0
"Other lab:1400074682","baso#",0,0.037039313851525,0,0.0187701112944303
"Other lab:800026937","grans",0,0.00416613104889806,0,0
"Other lab:800235344","rdw-sd",0,0.0367642057576134,0,0.0209811479393498
"Other lab:800235347","ig#",0,0.0299639933376675,0,0.0313465665675463
"PheCode:172.1","melanomas of skin, dx or hx",0.0631159705465882,-0.00334549074840434,0.0585984927783324,0
"PheCode:198.7","secondary malignant neoplasm of skin",0,0,0.0157024222867028,0
"PheCode:229.1","benign neoplasm of lymph nodes",0.00331795518018873,0.000524700228312994,0.0217034254712686,0
"PheCode:252.1","hyperparathyroidism",-0.00234415693500511,0.0566081846387703,0,0.037608207597724
"PheCode:285.2","anemia of chronic disease",0,0,0,0
"PheCode:296.2","depression",0.0026583023973917,-0.000279936914903519,0.0184018193875537,0
"PheCode:401.2","hypertensive heart and/or renal disease",0.000349563191980471,0.0120075112292615,0,0
"PheCode:411.4","coronary atherosclerosis",0,0,0.0169777502699801,0
"PheCode:574.1","cholelithiasis",0.00198806615004587,0.0417607990186935,0,0.0129189792646215
"PheCode:585.3","chronic renal failure [ckd]",0,0,0,0
"PheCode:588.1","renal osteodystrophy",0.00317848085488719,0.042985706529309,0,0.0395851243781703
"PheCode:588.2","secondary hyperparathyroidism of renal origin",-0.000275155144030313,0.00838800851074416,0,0
"PheCode:740.3","osteoarthrosis involving more...generalized",0,0,0.0141862630947447,0
"PheCode:965.3","salicylates causing adverse...use",0,0,0.0124475684933519,0
"PheCode:971","poisoning by drugs...system",0,0,0.0114762625147643,0
"PheCode:981","toxic effect of...solvents",0,0,0.00926543985774888,0
"RXNORM:1009153","potassium bicarbonate/potassium citrate",0,0,0.012538818249778,0
"RXNORM:10502","thioridazine",0,0,0.0120798552711992,0
"RXNORM:105694","epoetin alfa,recombinant",0.000640991650018352,0.0180568362329624,0,0.00431879265694582
"RXNORM:10582","levothyroxine",0.00945728986686666,-0.000984606575171685,0.0118805130915997,0
"RXNORM:11516","doxercalciferol",0.00161475582091603,0.0642480878883131,0,0.0629978074762824
"RXNORM:1191","aspirin",0.0093856185893847,0.000378835822681509,0.0113047523634085,0
"RXNORM:1291","bacitracin",0.000802331238740408,0.0245527333782831,0,0
"RXNORM:1307298","enzalutamide",0.000746741384157249,0.111251753588098,0,0.101187779015379
"RXNORM:1424911","dabrafenib",0,0,0.0293505650075752,0
"RXNORM:1425099","trametinib",0,0,0.0172568786753666,0
"RXNORM:1547545","pembrolizumab",0,0,0.0226797077269711,0
"RXNORM:161","acetaminophen",0.00119565226682424,7.99041328909523e-05,0.0122102253876632,0
"RXNORM:166283","lidocaine/prilocaine",0.00533577259788783,0.0542513545031409,0,0.0551950786227467
"RXNORM:168","acetic acid",0.00654549463224406,0.0594221201834304,0,0.0462718465999912
"RXNORM:19478","bismuth subsalicylate",0.00284126141637337,0.0745898133713276,0,0.0478389595923811
"RXNORM:214342","calcium acetate",5.09121591481776e-05,0.00165705925023547,0,0
"RXNORM:221082","oatmeal",0,0,0.00954902639531739,0
"RXNORM:221147","polyethylene glycol 3350",0,0,0,0
"RXNORM:2287","cetylpyridinium chloride",0,0,0.0203472162189705,0
"RXNORM:237125","sevelamer hcl",0.00327883333021122,0.0522243405427994,0,0.0492267869956834
"RXNORM:2409","chlorthalidone",0.00106010112856746,0.0459010376185481,0,0.0244607123827314
"RXNORM:24909","iron sucrose",0.00195593537247416,0.0254999347512163,0,0.0138987331056193
"RXNORM:261435","ferric na gluconate",0.00237253600281112,0.0440983234794321,0,0.0318877745511135
"RXNORM:2878","cortisone",0,0,0.00948736701350124,0
"RXNORM:29046","lisinopril",0.00228205769137804,-5.61067703715657e-05,0.0134008337146596,0
"RXNORM:3008","cyclosporine",0.00145245702011217,0.0416992148474026,0,0.0243816256051101
